method,coverage_80,coverage_90,coverage_95,avg_width,avg_width_80,avg_width_90,avg_width_95,cal_error_80,cal_error_90,cal_error_95,calibration_error,MAE,RMSE,dir_acc,avg_explanation_confidence,avg_predicted_variance_proxy,avg_variance_weighted_explanation_error,interval_scale_80,interval_scale_90,interval_scale_95,subgroup_type,subgroup,n
normalized_conformal_modality,0.7681660899653979,0.9100346020761245,0.9446366782006921,0.15717582852751413,0.09408200037858229,0.16612604925247537,0.2113194359514848,0.03183391003460212,0.0100346020761245,0.005363321799307874,0.015743944636678164,0.03129042874795915,0.05038262818090314,0.4982698961937716,0.48727424499208294,0.0054443222341685965,0.000403084105995343,0.99,1.0050000000000001,0.88,volatility_band,low_vol,289
normalized_conformal_combined,0.8120617110799438,0.9228611500701263,0.9607293127629734,0.21156358881263126,0.13437327115647382,0.20595213291465708,0.294365362366763,0.012061711079943804,0.022861150070126235,0.010729312762973398,0.015217391304347813,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,1.0,1.0050000000000001,0.985,attention_volume_band,medium_attention,713
normalized_conformal_combined,0.75,0.9285714285714286,0.9642857142857143,0.24064720646823523,0.14684777102710544,0.22584944830608294,0.3492444000715173,0.050000000000000044,0.02857142857142858,0.014285714285714346,0.03095238095238099,0.03961658671843387,0.050511375876255454,0.5892857142857143,0.4899921848870029,0.009958023674554494,0.0008802195240955197,1.0,1.0050000000000001,0.985,surprise_band,high_surprise,56
normalized_conformal_combined,0.8357289527720739,0.9363449691991786,0.9630390143737166,0.20769554281177727,0.1312151080358116,0.2046236160183084,0.2872479043812118,0.035728952772073885,0.03634496919917862,0.013039014373716684,0.028370978781656397,0.031589983608180446,0.046602510508590635,0.5441478439425051,0.4850284158274032,0.008281438624408917,0.0006231961725838509,1.0,1.0050000000000001,0.985,surprise_band,low_surprise,487
normalized_conformal_combined,0.7647058823529411,0.8823529411764706,0.9529411764705882,0.21306391712852601,0.13931123260945696,0.20320353330643337,0.2966769854696876,0.03529411764705892,0.01764705882352946,0.002941176470588225,0.0186274509803922,0.04005705015887917,0.05635258271540123,0.5117647058823529,0.4838254808869031,0.008242040649103277,0.0007317800756108178,1.0,1.0050000000000001,0.985,surprise_band,medium_surprise,170
normalized_conformal_combined,0.839622641509434,0.9292452830188679,0.9716981132075472,0.2472472168987341,0.16025664640487544,0.23032038111154343,0.3511646231797835,0.03962264150943395,0.029245283018867863,0.02169811320754722,0.030188679245283012,0.036249093142135466,0.04872903669593322,0.5683962264150944,0.483670933513394,0.010420867265412801,0.0008507078670256354,1.0,1.0050000000000001,0.985,volatility_band,high_vol,424
normalized_conformal_combined,0.7716262975778547,0.9134948096885813,0.9446366782006921,0.15921113791814132,0.09639904587854202,0.17020079299950205,0.21103357487637991,0.02837370242214532,0.0134948096885813,0.005363321799307874,0.015743944636678164,0.03129042874795915,0.05038262818090314,0.4982698961937716,0.48727424499208294,0.0054443222341685965,0.000403084105995343,1.0,1.0050000000000001,0.985,volatility_band,low_vol,289
ours,0.8064516129032258,0.9158485273492286,0.9607293127629734,0.20510246232195817,0.12435635625995943,0.19722364379671453,0.2937273869092005,0.006451612903225712,0.01584852734922859,0.010729312762973398,0.011009817671809233,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,0.99,1.0050000000000001,0.88,attention_volume_band,medium_attention,713
ours,0.6964285714285714,0.8928571428571429,0.9642857142857143,0.23050738037704988,0.13034142441800042,0.21328714552532868,0.34789357118782044,0.10357142857142865,0.0071428571428571175,0.014285714285714346,0.041666666666666706,0.03961658671843387,0.050511375876255454,0.5892857142857143,0.4899921848870029,0.009958023674554494,0.0008802195240955197,0.99,1.0050000000000001,0.88,surprise_band,high_surprise,56
ours,0.8418891170431212,0.9363449691991786,0.9630390143737166,0.20180147216028435,0.12241824589687142,0.19626610108063008,0.2867200695033516,0.04188911704312115,0.03634496919917862,0.013039014373716684,0.030424366872005486,0.031589983608180446,0.046602510508590635,0.5441478439425051,0.4850284158274032,0.008281438624408917,0.0006231961725838509,0.99,1.0050000000000001,0.88,surprise_band,low_surprise,487
ours,0.7411764705882353,0.8647058823529412,0.9529411764705882,0.20619014936695815,0.1279369205539216,0.194675215596307,0.29595831195064587,0.05882352941176472,0.03529411764705881,0.002941176470588225,0.032352941176470584,0.04005705015887917,0.05635258271540123,0.5117647058823529,0.4838254808869031,0.008242040649103277,0.0007317800756108178,0.99,1.0050000000000001,0.88,surprise_band,medium_surprise,170
ours,0.8325471698113207,0.9198113207547169,0.9716981132075472,0.23776943677147303,0.14499147147155847,0.21841988158748132,0.34989695725537934,0.032547169811320664,0.01981132075471692,0.02169811320754722,0.024685534591194935,0.036249093142135466,0.04872903669593322,0.5683962264150944,0.483670933513394,0.010420867265412801,0.0008507078670256354,0.99,1.0050000000000001,0.88,volatility_band,high_vol,424
ours,0.7681660899653979,0.9100346020761245,0.9446366782006921,0.15717582852751413,0.09408200037858229,0.16612604925247537,0.2113194359514848,0.03183391003460212,0.0100346020761245,0.005363321799307874,0.015743944636678164,0.03129042874795915,0.05038262818090314,0.4982698961937716,0.48727424499208294,0.0054443222341685965,0.000403084105995343,0.99,1.0050000000000001,0.88,volatility_band,low_vol,289
same_ticker_baseline,0.8821879382889201,0.8611500701262272,0.7938288920056101,0.10553767061098678,0.11933403984570763,0.10758263395095131,0.08969633803630135,0.08218793828892001,0.03884992987377278,0.15617110799438982,0.09240299205236087,0.029771160453477854,0.04669325478581894,0.47685834502103785,1.0,0.0019587187694625817,0.00011323009432486972,,,,attention_volume_band,medium_attention,713
same_ticker_baseline,0.8392857142857143,0.8392857142857143,0.8214285714285714,0.11429240953730509,0.12808877877202596,0.11633737287726964,0.09845107696261968,0.03928571428571426,0.06071428571428572,0.12857142857142856,0.07619047619047618,0.030277104680034608,0.045719892985376515,0.48214285714285715,1.0,0.0021520981859635886,8.139005268585671e-05,,,,surprise_band,high_surprise,56
same_ticker_baseline,0.8952772073921971,0.8747433264887063,0.8090349075975359,0.10094657963911041,0.11474294887383128,0.10299154297907497,0.085105247064425,0.09527720739219703,0.02525667351129368,0.14096509240246402,0.08716632443531824,0.02803084043619621,0.044287412488212365,0.459958932238193,1.0,0.001708800254791138,0.00010111484225627751,,,,surprise_band,low_surprise,487
same_ticker_baseline,0.8588235294117647,0.8294117647058824,0.7411764705882353,0.11580588192528064,0.1296022511600015,0.11785084526524518,0.09996454935059522,0.05882352941176461,0.07058823529411762,0.20882352941176463,0.11274509803921562,0.03459000146364836,0.053262863632326976,0.5235294117647059,1.0,0.0026109603537033876,0.0001584252124965705,,,,surprise_band,medium_surprise,170
same_ticker_baseline,0.8867924528301887,0.8679245283018868,0.7995283018867925,0.10655992500183804,0.1203562942365589,0.10860488834180258,0.09071859242715263,0.08679245283018866,0.0320754716981132,0.15047169811320749,0.08977987421383644,0.028647958857506976,0.04263177284830989,0.5023584905660378,1.0,0.0019800822875984322,0.0001088151717610086,,,,volatility_band,high_vol,424
same_ticker_baseline,0.8754325259515571,0.8512110726643599,0.7854671280276817,0.1040378925427482,0.11783426177746907,0.10608285588271275,0.08819655996806279,0.07543252595155703,0.04878892733564011,0.16453287197231825,0.0962514417531718,0.03141904099566351,0.052081881051067896,0.43944636678200694,1.0,0.0019273757532355903,0.00011970735095835459,,,,volatility_band,low_vol,289
