method,coverage_80,coverage_85,coverage_90,coverage_95,avg_width,avg_width_80,avg_width_85,avg_width_90,avg_width_95,MAE,RMSE,dir_acc,avg_explanation_confidence,avg_predicted_variance_proxy,avg_variance_weighted_explanation_error,subgroup_type,subgroup,n
naive_conformal,0.8459958932238193,0.8973305954825462,0.9301848049281314,0.971252566735113,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.04208990941709218,0.05754260619813938,0.4722792607802875,0.9000000000000004,0.025381101817114466,0.4536936009100916,surprise_band,low_surprise,487
naive_conformal,0.788235294117647,0.8588235294117647,0.9235294117647059,0.9705882352941176,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.04771322428765844,0.06501749880066122,0.4588235294117647,0.9000000000000004,0.027252834959812375,0.5211409802875031,surprise_band,medium_surprise,170
naive_conformal,0.8632075471698113,0.9056603773584906,0.9410377358490566,0.964622641509434,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.04050136380218011,0.057543193713686006,0.4858490566037736,0.9000000000000001,0.03548463802973427,0.3339668438724168,volatility_band,high_vol,424
naive_conformal,0.7716262975778547,0.8408304498269896,0.889273356401384,0.9550173010380623,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.052264953185661184,0.06983155814603269,0.4602076124567474,0.9000000000000001,0.014570795127164967,0.6812765798789446,volatility_band,low_vol,289
ours,0.9032258064516129,0.9340813464235624,0.9537166900420757,0.9817671809256662,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.02939904537370126,0.04537731517229274,0.520336605890603,0.9000000000000002,0.027007638592367468,0.31094993827968936,attention_volume_band,medium_attention,713
ours,0.8928571428571429,0.9107142857142857,0.9285714285714286,0.9642857142857143,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.03151391730767584,0.048019975070744535,0.5357142857142857,0.9000000000000001,0.04040835336169924,0.25060094220589874,surprise_band,high_surprise,56
ours,0.9075975359342916,0.9404517453798767,0.9630390143737166,0.9897330595482546,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.027584940697622972,0.04271465992306754,0.5071868583162218,0.9000000000000004,0.025381101817114466,0.3018150277482524,surprise_band,low_surprise,487
ours,0.8941176470588236,0.9235294117647059,0.9352941176470588,0.9647058823529412,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.0338992580145692,0.05147560106413613,0.5529411764705883,0.9000000000000004,0.027252834959812375,0.3569984395087606,surprise_band,medium_surprise,170
ours,0.9080188679245284,0.9386792452830188,0.9575471698113207,0.9882075471698113,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.028544087220613888,0.04249657555419536,0.5471698113207547,0.9000000000000001,0.03548463802973427,0.2435500831742683,volatility_band,high_vol,424
ours,0.8961937716262975,0.9273356401384083,0.9480968858131488,0.972318339100346,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.03065337844259069,0.049300021903380536,0.4809688581314879,0.9000000000000001,0.014570795127164967,0.40983415476653556,volatility_band,low_vol,289
same_ticker_baseline,0.8962131837307152,0.9270687237026648,0.9453015427769986,0.9789621318373072,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.029771160453477854,0.04669325478581894,0.47685834502103785,1.0,0.0019587187694625817,1.3263835508594717,attention_volume_band,medium_attention,713
same_ticker_baseline,0.8928571428571429,0.9107142857142857,0.9642857142857143,0.9821428571428571,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.030277104680034608,0.045719892985376515,0.48214285714285715,1.0,0.0021520981859635886,1.4023966131171146,surprise_band,high_surprise,56
same_ticker_baseline,0.9034907597535934,0.9363449691991786,0.9527720739219713,0.9835728952772074,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.02803084043619621,0.044287412488212365,0.459958932238193,1.0,0.001708800254791138,1.2847582700670697,surprise_band,low_surprise,487
same_ticker_baseline,0.8764705882352941,0.9058823529411765,0.9176470588235294,0.9647058823529412,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.03459000146364836,0.053262863632326976,0.5235294117647059,1.0,0.0026109603537033876,1.4205881406210707,surprise_band,medium_surprise,170
same_ticker_baseline,0.9033018867924528,0.9363207547169812,0.9575471698113207,0.9858490566037735,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.028647958857506976,0.04263177284830989,0.5023584905660378,1.0,0.0019800822875984322,1.3123838233288518,volatility_band,high_vol,424
same_ticker_baseline,0.8858131487889274,0.9134948096885813,0.9273356401384083,0.9688581314878892,0.20111300703138113,0.149541724473238,0.17480453103780746,0.20474191009998322,0.27536386251449585,0.03141904099566351,0.052081881051067896,0.43944636678200694,1.0,0.0019273757532355903,1.3469229434995509,volatility_band,low_vol,289
